[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr
options_desc_fullscreen|Switch to Fullscreen or Windowed.||Muda para Tela Cheia ou Em Janela|Переключитесь в полноэкранный или оконный режим.|||전체 화면 또는 창 모드로 전환||Passer de plein écran à fenêtré (ou l'inverse).
options_desc_window_size|Size of the game window on Windowed.||Tamanho da Janela do Jogo no modo Em Janela|Размер окна в оконном режиме.|||창 모드에서 게임 창의 크기||Taille de la fenêtre de jeu en mode fenêtré.
options_desc_aspect_ratio|Aspect Ratio of the game.||Proporção da Imagem do Jogo|Соотношение сторон игры.|||||Rapport hauteur/largeur du jeu.
options_desc_vsync|Vertical sync synchronizes the refresh rate and frame rate of a monitor fixing screen tearing.||A sincronização vertical sincroniza a taxa de atualização e a taxa de quadros de um monitor, corrigindo o screen tearing.|Вертикальная синхронизация синхронизирует частоту обновления и частоту кадров монитора, устраняя разрывы экрана.|||수직 동기화는 화면 찢어짐을 방지하기 위해 모니터의 새로 고침 빈도와 프레임 속도를 동기화합니다.||La synchronisation verticale synchronise la fréquence de rafraîchissement et la fréquence d'images d'un moniteur, ce qui évite le déchirement de l'écran.
options_desc_framerate|Framerate determines how many frames per second your monitor draws improving the smoothness of the game. Additionally also due to game engine limitations this also determines how many times code is ran in the games step loop, this might cause slowdowns on lower end devices/hardware.||A taxa de quadros determina quantos quadros por segundo seu monitor desenha, melhorando a suavidade do jogo. Além disso, devido às limitações da engine de jogo, isso também determina quantas vezes o código é executado no loop de etapas do jogo, o que pode causar lentidão em dispositivos/hardware de baixo custo.|Частота кадров определяет, сколько кадров в секунду рисует ваш монитор, улучшая плавность игры. Кроме того, из-за ограничений игрового движка это также определяет, сколько раз код выполняется в цикле шагов игры, это может привести к замедлению работы на устройствах/оборудовании более низкого уровня.|||프레임 속도는 초당 모니터가 그리는 프레임 수를 결정하여 게임의 부드러움을 개선합니다. 또한 게임 엔진의 한계로 인해 코드가 게임의 스텝 루프에서 실행되는 횟수도 결정되며, 이는 저사양 장치/하드웨어에서 속도 저하를 일으킬 수 있습니다.||Le taux de rafraîchissement détermine le nombre d'images par seconde que votre moniteur affiche, ce qui améliore la fluidité du jeu. En outre, en raison des limitations du moteur de jeu, ce paramètre détermine également le nombre de fois que le code est exécuté dans la boucle d'étape du jeu, ce qui peut entraîner des ralentissements sur les appareils/matériels de bas de gamme.
options_desc_field_of_view|Field of View ingame. This determines how close or far the camera is zoomed to your player.||Campo de Visão no jogo. Isso determina o quão perto ou longe a câmera está do jogador.|Поле зрения в игре. Это определяет, насколько близко или далеко камера будет приближаться к вашему игроку.|||게임 내 시야. 카메라가 플레이어에게 얼마나 가까이 또는 멀리 확대되는지 결정합니다.||Champ de vision dans le jeu. Il détermine la distance à laquelle la caméra est zoomée sur votre joueur.
options_desc_outline|Enable/disable outline drawing.||Ativa/Desativa o desenho de contorno.|Включить/выключить контур обьектов.|||윤곽선 그리기 활성화/비활성화.||Activer/désactiver le tracé des contours.
options_desc_show_experience|Enable/disable experience numbers shown in main HUD.||Ativa/Desativa os números de experiência mostrada no HUD principal.|Включить/отключить количество опыта, отображаемое в главном HUD.|||주 화면 HUD에 표시되는 경험치 숫자를 활성화/비활성화합니다.||Activer/désactiver les points d'expérience affichés dans le HUD principal.
options_desc_show_fps|Enable/disable Frames Per Second shown in main HUD.||Ativa/Desativa a taxa de quadro por segundo no HUD principal.|Включить/отключить количество кадров в секунду, отображаемое в главном HUD.|||메인 HUD에서 초당 프레임 수 표시를 활성화/비활성화합니다.||Activer/désactiver l'affichage du compteur d'images par seconde dans le HUD principal.
options_desc_color_blind_mode|Enable/disable colorblindness correction filter.||Ativa/desativa o filtro de correção de daltonismo.||||색맹 교정 필터를 활성화/비활성화합니다.||
options_desc_font|Select an alternative text font.||||||대체 글꼴을 선택하세요.||
options_desc_cursor_size|Size of the ingame mouse cursor.||Tamanho do cursor in-game||||게임 내 마우스 커서 크기||
options_desc_default|Set binds back to default values.||Definir as vinculações de volta aos valores padrão.||||바인드를 기본값으로 되돌립니다.||
|||||||||
console|Console|Konsoli|Console|Консоль|||콘솔||Console
brightness|Brightness|Kirkkaus|Brilho|Яркость|||||Luminosité
contrast|Contrast|Kontrasti|Contraste|Контраст|||대조||Contraste
outlines|Outlines|Ääriviivat|Contorno|Контуры|||윤곽선||Contours
show_experience|Show Experience|Näytä kokemuspisteet|Mostrar Experiência|Показать опыт|||경험치 표시||Afficher l'expérience
show_fps|Show FPS|Näytä FPS|Mostrar FPS|Показать FPS|||FPS 표시||Afficher les FPS
combat_text_compress|Compress Combat Text|Lyhennä vahinkotekstit|Comprimir Texto de Combate|Сжать боевой текст|||전투 텍스트 압축||
mobile_hold_delay|Inventory Hold Delay||Atraso de Retenção de Inventário||||인벤토리 보유 지연||
player_projectile_opacity_self|Skill Opacity (Self)||Opacidade de Habilidades (própria)||||스킬 투명도 (자신)||
player_projectile_opacity_other|Skill Opacity (Party)||Opacidade de Habilidades (grupo)||||스킬 투명도 (파티)||
protanopia|Protanopia|Protanopia|Protanopia||||프로타노피아||
deuteranopia|Deuteranopia|Deuteranopia|Deuteranopia||||제2형 색맹||
tritanopia|Tritanopia|Tritanopia|Tritanopia||||트리타노피아||
cursor_size|Cursor Size|Kursorin koko|Tamanho do Cursor||||커서 크기||
use_all_flasks|Use All Unique Flasks||||||모든 고유 플라스크 사용||
options_font|Font||||||||
show_item_info|Show Item Information||||||아이템 정보 보기||
|||||||||
[Audio]|||||||||
options_desc_master_volume|The master volume of the game. All other volume sliders are relative to this one.||O volume mestre do jogo. Todos os outros sliders de volume são relativos a esse.|Основная громкость игры. Все остальные ползунки громкости расположены относительно этого.|||게임의 마스터 볼륨입니다. 다른 모든 볼륨 슬라이더는 이 볼륨에 상대적입니다.||Le volume principal du jeu. Tous les autres curseurs de volume sont basés sur celui-ci.
options_desc_music_volume|The volume of music in the game.||O volume da música do jogo.|Громкость музыки в игре.|||게임 내 음악 볼륨.||Le volume de la musique dans le jeu.
options_desc_ambient_volume|The volume of all ambient sounds of the game like wind and rain etc.||O volume dos sons de ambeinte do jogo como vento e chuva etc.|Громкость всех окружающих звуков игры, таких как ветер, дождь и т. д.|||게임의 모든 환경 소리(바람, 비 등)의 볼륨||Le volume de tous les sons ambiants du jeu, comme le vent, la pluie, etc.
options_desc_sound_volume|The volume of all sound effects.||O volume de todos os efeitos sonoros.|Громкость всех звуковых эффектов.|||모든 사운드 효과의 볼륨.||Le volume de tous les effets sonores.
options_desc_loot_volume|The volume of all loot drops.||O volume de todos os drops de loot.|Громкость звука вападения предметов.|||모든 전리품 드롭의 볼륨.||Le volume de tous sons de butins.
options_desc_hero_voice_volume|The volume of hero voice lines.||O volume das falas dos heróis.|Громкость голоса героя.|||영웅 음성 대사의 볼륨.||Le volume des voix des héros.
|||||||||
[Gameplay]|||||||||
[Visual]|||||||||
health_bar_scale|Health Bar Scale||||||체력 바 규모||
show_enemy_hitbox|Show Enemy Attack Hitboxes||Mostrar Hitboxes de Ataques do Inimigo||||적 공격 히트박스 표시||
center_dps_meter|Center DPS counter||Centralizar contador de DPS||||중앙 DPS 카운터||
center_boss_cooldowns|Center Boss Cooldowns||Centralizar Tempos de Recarga de Chefes||||중앙 보스 재사용 대기시간||
minimap_show_environment|Show Minimap Environment||Mostrar Ambiente no Minimapa||||미니맵 환경 표시||
minimap_turboperformance|Minimap Turbo Performance||Performance Turbo do Minimapa||||미니맵 터보 성능||
show_enemy_affix|Show Monster Affixes||||||몬스터 속성 표시||
options_desc_show_player_name|Enable/disable showing the name of all players.||Ativa/Desativa mostrar o nome de todos os jogadores.|Включить/выключить отображение имен игроков.|||모든 플레이어의 이름 표시를 활성화/비활성화합니다.||Activer/désactiver l'affichage du nom des joueurs.
options_desc_show_player_health|Enable/disable showing the life and mana bars of all players.||Ativa/Desativa mostrar a barra de vida e mana de todos os jogadores.|Включить/отключить отображение полосок жизни и маны игроков.|||모든 플레이어의 생명과 마나 바 표시를 활성화/비활성화합니다.||Activer/désactiver l'affichage des barres de vie et de mana des joueurs.
options_desc_show_loot_names|Enable/disable showing the names of all loot on the ground.||Ativa/Desativa mostrar os nomes de todos os saques no chão.|Включить/отключить отображение названий всей добычи на земле.|||바닥에 있는 모든 전리품의 이름을 표시/숨기기||Activer/désactiver l'affichage des noms des butins sur le sol.
options_desc_show_enemy_life|Enable/disable showing the life bar for enemies.||Ativa/Desativa mostrar a barra de vida dos inimigos.|Включить/выключить показ шкалы жизни врагов.|||적의 생명 막대를 표시/숨기기||Activer/désactiver l'affichage de la barre de vie des ennemis.
options_desc_show_enemy_hitbox|Enable/disable showing enemy attack hitboxes||Ativa/Desativa mostrar a hitbox de ataques inimigos.||||적 공격 히트박스 표시 활성화/비활성화||
options_desc_show_dps|Enable/disable the DPS counter tracking your damage dealt per second.||Ativa/Desativa o contador de DPS monitorando o seu dano causado por segundo.|Включите/отключите счетчик УВС отслеживающий наносимый вами урон в секунду.|||DPS 카운터를 활성화/비활성화하여 초당 가한 피해를 추적합니다.||Activer/désactiver le compteur de DPS pour suivre les dégâts infligés par seconde.
options_desc_show_boss_skill_cooldowns|Enable/disable cooldown counters for boss skills.||Ativa/Desativa o contador de tempo de recarga dos chefes.|Включить/отключить счетчики перезарядки навыков босса.|||보스 스킬의 쿨다운 카운터를 활성화/비활성화합니다.||Activer/désactiver les compteurs de temps de recharge pour les compétences de boss.
options_desc_center_dps|Center the DPS counter position.||Ativa/Desativa o contador de DPS monitorando o seu dano causado por segundo.|Включите/отключите счетчик УВС отслеживающий наносимый вами урон в секунду.|||DPS 카운터 위치를 중앙에 맞추세요.||Activer/désactiver le compteur de DPS pour suivre les dégâts infligés par seconde.
options_desc_center_boss_skill_cooldowns|Center boss cooldown counter position.||Ativa/Desativa o contador de tempo de recarga dos chefes.|Включить/отключить счетчики перезарядки навыков босса.|||보스 쿨다운 카운터 위치를 중앙에 설정합니다.||Activer/désactiver les compteurs de temps de recharge pour les compétences de boss.
options_desc_show_combat_text|Enable/disable floating combat text when taking or dealing damage.||Ativa/Desativa texto de combate flutuante quando causa ou recebe dano.|Включить/отключить плавающий боевой текст при получении или нанесении урона.|||피해를 입거나 입힐 때 떠다니는 전투 텍스트를 활성화/비활성화합니다.||Activer/désactiver le texte de combat flottant lorsque vous subissez ou infligez des dégâts.
options_desc_show_experience_gain|Enable/disable floating text for experience gain when killing enemies.||Ativa/Desativa texto flutuante do ganho de experiência quando elimina montros.|Включить/отключить плавающий текст для получения опыта при убийстве врагов.|||적을 처치할 때 경험치 획득을 위한 떠다니는 텍스트 활성화/비활성화.||Activer/désactiver le texte flottant pour le gain d'expérience lorsque vous tuez des ennemis.
options_desc_player_projectile_opacity_self|The opacity of your own skills and effects.||A opacidade de suas próprias habilidades e efeitos.||||자신의 스킬과 효과의 불투명도.||
options_desc_player_projectile_opacity_other|The opacity of party member skills and effects.||A opacidade das habilidades e dos efeitos dos membros do grupo.||||파티 멤버의 스킬 및 효과의 불투명도.||
options_desc_minimap_show_environment|Show or Hide Environment objects such as trees and buildings in the minimap||Mostrar ou Ocultar objetos do ambiente, como árvores e construções, no minimapa||||미니맵에서 나무와 건물 같은 환경 객체를 표시하거나 숨기기||
options_desc_minimap_turboperformance|Turboperformance for minimap. Increases FPS but lowers map updating frequency||Desempenho turbo do minimapa. Aumenta o FPS, mas reduz a frequência de atualização do mapa||||미니맵의 터보 성능. FPS를 증가시키지만 맵 업데이트 빈도를 낮춥니다||
options_desc_health_bar_scale|Change the size of your health bar.||||||체력 바의 크기를 변경하세요.||
options_desc_cross_platform|Enable/disable the ability to see and join game sessions hosted by users outside of the PlayStation Network. When enabled, players on other platforms can participate in your game sessions as well.||||||PlayStation Network 외부 사용자들이 호스팅하는 게임 세션을 보고 참여할 수 있는 기능을 활성화/비활성화합니다. 활성화되면 다른 플랫폼의 플레이어들도 당신의 게임 세션에 참여할 수 있습니다.||
options_desc_use_all_flasks|Enable/Disable using all available unique flasks at the same time by using any one of them. This does not apply for common flasks.||||||모든 고유 물약을 동시에 사용하도록 설정/해제합니다. 일반 물약에는 적용되지 않습니다.||
options_desc_show_item_info|Always show the stat ranges and other information on items when hovering them.||||||항상 아이템을 가리킬 때 통계 범위 및 기타 정보를 표시합니다.||
options_desc_show_enemy_affix|Always show monster affixes.||||||항상 몬스터 접두사를 표시합니다.||
|||||||||
[Minimap]|||||||||
minimap_object_icon_size|Minimap Object Size||Tamanho de Objetos no Minimapa||||미니맵 오브젝트 크기||
minimap_enemy_icon_size|Minimap Player/Enemy Size||Tamanho de Jogador/Inimigo no Minimapa||||미니맵 플레이어/적 크기||
minimap_loot_icon_size|Minimap Loot Size||Tamanho de Loot no Minimapa||||미니맵 전리품 크기||
options_desc_minimap_object_icon_size|The size of objects like portals, NPC, mining nodes etc. in the minimap.||O tamanho de objetos como portais, NPC, minérios etc. No minimapa||||미니맵에 표시되는 포탈, NPC, 채광 지점 등의 객체 크기.||
options_desc_minimap_enemy_icon_size|The size of Player and Enemies in the minimap.||O tamanho do Jogador e Inimigos no minimapa.||||미니맵에서 플레이어와 적의 크기.||
options_desc_minimap_loot_icon_size|The size of Loot in the minimap.||O tamanho de Loot no minimapa.||||미니맵에 표시되는 전리품의 크기||
options_desc_minimap_color|The color blend for the minimap.||A combinação de cores do minimapa.|Цвет мини-карты.|||미니맵 색상 조합.||Le nuancier de couleurs de la mini-carte.
options_desc_minimap_scale|The scale of your minimap.||A escala do seu minimapa.|Размер миникарты.|||미니맵의 크기.||La taille de votre mini-carte.
options_desc_minimap_opacity|The opacity of your minimap.||A opacidade do seu minimapa.|Прозрачность мини-карты.|||미니맵의 불투명도.||L'opacité de votre mini-carte.
|||||||||
[Online Chat]|||||||||
options_desc_general_chat|Enable/disable the General chat in the chat lobby as well as ingame.||Ativa/Desativa o chat Geral tanto no lobby quanto em jogo.|Включите/отключите общий чат в лобби чата, а также в игре.|||로비와 게임 내에서 일반 채팅을 활성화/비활성화합니다.||Activer/désactiver le chat général dans le lobby et dans le jeu.
options_desc_ingame_chat_notifications|Enable/disable notifications in the Ingame chat.||Ativa/Desativa notificações no chat de jogo.|Включить/отключить уведомления во внутриигровом чате.|||인게임 채팅에서 알림을 활성화/비활성화합니다.||Activer/désactiver les notifications dans le chat en jeu.
options_desc_general_chat_notifications|Enable/disable notifications in the General chat.||Ativa/Desativa notificações no chat geral.|Включить/отключить уведомления в общем чате.|||일반 채팅에서 알림을 활성화/비활성화합니다.||Activer/désactiver les notifications dans le chat général.
options_desc_trade_chat_notifications|Enable/disable notifications in the Trade chat.||Ativa/Desativa notificações no chat de trocas.|Включить/отключить уведомления в торговом чате.|||거래 채팅에서 알림을 활성화/비활성화합니다.||Activer/désactiver les notifications dans le chat commerce.
options_desc_guild_chat_notifications|Enable/disable notifications in the Guild chat.||Ativa/Desativa notificações no chat da Guilda.|Включить/отключить уведомления в чате Гильдии.|||길드 채팅에서 알림을 활성화/비활성화합니다.||Activer/désactiver les notifications dans le chat de guilde.
options_desc_ingame_chat_fading|Enable/disable Ingame chat fading. This causes the chat window to fade away after a period of time. if disabled the chat will always show.||Ativa/Desativa desaparecimento do chat em jogo. Isso faz com que a aba do chat desapareça após um período de tempo. Se desativado, o chat sempre vai ficar à mostra.|Включить/отключить затухание внутриигрового чата. Это приводит к исчезновению окна чата через некоторое время. если отключено, чат будет отображаться всегда.|||인게임 채팅 페이딩 활성화/비활성화. 이 기능을 사용하면 일정 시간이 지나면 채팅 창이 사라집니다. 비활성화하면 채팅이 항상 표시됩니다.||Activer/désactiver le fondu du chat en jeu. La fenêtre de chat disparaît au bout d'un certain temps. Si cette option est désactivée, la discussion reste toujours affichée.
options_desc_ingame_chat_fading_speed|How many seconds it takes before the chat starts to fade.||Quantos segundos leva até que o chat comece a desaparecer.|Сколько секунд пройдет, прежде чем чат начнет тускнеть.|||채팅이 사라지기 시작하기까지 걸리는 시간(초).||Nombre de secondes avant que la fenêtre de chat ne commence à s'effacer.
options_desc_ingame_chat_background_opacity|How visible the Ingame chats background box is.||O quão visível é o fundo da caixa de chat.|Насколько видно фоновое окно внутриигровых чатов.|||인게임 채팅 배경 상자의 가시성.||L'opacité de l'arrière-plan de la fenêtre de chat en jeu.
|||||||||
[Misc]|||||||||
options_desc_screen_shake|Enable/disable screen shaking from any source like abilities or cinematic events will be enabled/disabled.||Ativa/Desativa o tremor na tela de qualquer fonte como habilidades ou eventos cinemáticos.|Включение/отключение дрожания экрана из любого источника, например способностей или кинематографических событий, будет включено/отключено.|||능력이나 시네마틱 이벤트 등으로 인한 화면 흔들림을 활성화/비활성화합니다.||Activer/désactiver les tremblements d'écran provenant de n'importe quelle source, comme les compétences ou les événements cinématiques seront activés ou non.
options_desc_vibration|Enable/disable Gamepad vibration when for example taking damage.||Ativa/Desativa a vibração do gamepad quando por exemplo toma dano.|Включить/отключить вибрацию геймпада, например, при получении урона.|||피해를 입었을 때와 같은 상황에서 게임패드 진동을 켜기/끄기||Activer/désactiver la vibration de la manette lorsque, par exemple, vous subissez des dégâts.
options_desc_object_outline_color|The color of outline for enemies and other objects behind structures.||A cor do contorno de inimigos e outros objetos atrás de estruturas.|Цвет контура врагов и других объектов за постройками.|||구조물 뒤에 있는 적 및 기타 객체의 윤곽선 색상.||La couleur du contour des ennemis et autres objets derrière les structures.
|||||||||
[Controls]|||||||||
[Keyboard]|||||||||
options_kb_use_potion_1|Key bind for using a potion in slot 1||Keybind para usar uma poção no slot 1|Привязка клавиш для использования зелья в слоте 1|||1번 슬롯의 포션 사용 키 설정||Raccourci clavier pour boire la potion stockée dans le 1er emplacement.
options_kb_use_potion_2|Key bind for using a potion in slot 2||Keybind para usar uma poção no slot 2|Привязка клавиш для использования зелья в слоте 2|||2번 슬롯에서 포션 사용 키 바인드||Raccourci clavier pour boire la potion stockée dans le 2ème emplacement.
options_kb_use_potion_3|Key bind for using a potion in slot 3||Keybind para usar uma poção no slot 3|Привязка клавиш для использования зелья в слоте 3|||3번 슬롯에서 포션 사용 키 바인드||Raccourci clavier pour boire la potion stockée dans le 3ème emplacement.
options_kb_use_potion_4|Key bind for using a potion in slot 4||Keybind para usar uma poção no slot 4|Привязка клавиш для использования зелья в слоте 4|||4번 슬롯에 있는 포션 사용 키 바인드||Raccourci clavier pour boire la potion stockée dans le 4ème emplacement.
|||||||||
options_kb_use_skill_1|Key bind for using skill 1 if assigned.||Keybind para usar a skill 1 se atribuído.|Привязка клавиш для использования навыка 1, если он назначен.|||스킬 1을 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 1ère compétence si elle est attribuée.
options_kb_use_skill_2|Key bind for using skill 2 if assigned.||Keybind para usar a skill 2 se atribuído.|Привязка клавиш для использования навыка 2, если он назначен.|||스킬 2 사용 키 바인딩 (지정된 경우).||Raccourci clavier pour l'utilisation de la 2ème compétence si elle est attribuée.
options_kb_use_skill_3|Key bind for using skill 3 if assigned.||Keybind para usar a skill 3 se atribuído.|Привязка клавиш для использования навыка 3, если он назначен.|||스킬 3을(를) 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 3ème compétence si elle est attribuée.
options_kb_use_skill_4|Key bind for using skill 4 if assigned.||Keybind para usar a skill 4 se atribuído.|Привязка клавиш для использования навыка 4, если он назначен.|||스킬 4를 사용하기 위한 키 바인딩 (지정된 경우).||Raccourci clavier pour l'utilisation de la 4ème compétence si elle est attribuée.
options_kb_use_skill_5|Key bind for using skill 5 if assigned.||Keybind para usar a skill 5 se atribuído.|Привязка клавиш для использования навыка 5, если он назначен.|||스킬 5 사용을 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 5ème compétence si elle est attribuée.
options_kb_use_skill_6|Key bind for using skill 6 if assigned.||Keybind para usar a skill 6 se atribuído.|Привязка клавиш для использования навыка 6, если он назначен.|||스킬 6을 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 6ème compétence si elle est attribuée.
options_kb_use_skill_7|Key bind for using skill 7 if assigned.||Keybind para usar a skill 7 se atribuído.|Привязка клавиш для использования навыка 7, если он назначен.|||스킬 7을(를) 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 7ème compétence si elle est attribuée.
options_kb_use_skill_8|Key bind for using skill 8 if assigned.||Keybind para usar a skill 8 se atribuído.|Привязка клавиш для использования навыка 8, если он назначен.|||스킬 8을(를) 사용하기 위한 키 바인딩 (할당된 경우).||Raccourci clavier pour l'utilisation de la 8ème compétence si elle est attribuée.
options_kb_use_skill_9|Key bind for using skill 9 if assigned.||Keybind para usar a skill 9 se atribuído.|Привязка клавиш для использования навыка 9, если он назначен.|||스킬 9 사용 키 바인드 (지정된 경우).||
options_kb_use_skill_10|Key bind for using skill 10 if assigned.||Keybind para usar a skill 10 se atribuído.|Привязка клавиш для использования навыка 10, если он назначен.|||스킬 10을 사용하기 위한 키 바인드 (할당된 경우).||
options_kb_use_skill_11|Key bind for using skill 11 if assigned.||Keybind para usar a skill 11 se atribuído.|Привязка клавиш для использования навыка 11, если он назначен.|||스킬 11을 사용하기 위한 키 바인딩 (지정된 경우).||
options_kb_use_skill_12|Key bind for using skill 12 if assigned.||Keybind para usar a skill 12 se atribuído.|Привязка клавиш для использования навыка 12, если он назначен.|||스킬 12를 사용할 키 바인드 (지정된 경우).||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
options_kb_move_up|Key bind for moving up.||Keybind para mover para cima.|Привязка клавиш для перемещения вверх.|||위로 이동 키 바인딩.||Raccourci clavier pour le déplacement vers le haut.
options_kb_move_left|Key bind for moving left.||Keybind para mover para esquerda.|Привязка клавиш для перемещения влево.|||왼쪽으로 이동 키 설정.||Raccourci clavier pour se déplacer vers la gauche.
